abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
scrutinize,vt.仔细检查,"observe,great care"
scuff,v.（使）磨损,roughened by wear
scurrilous,adj.说粗话的,vulgar
scurvy,adj.下流的，让人鄙视的,contemptible
seamy,adj.肮脏的，堕落的,"sordid,base"
secluded,adj.僻静的，隐蔽的,hidden
secrete,"vt.隐藏
vt.分泌","1.conceal
2.generate"
sedate,adj.淡定的，安静地,free from agitation
sedentary,adj.固定不动的,not migratory
seduce,vt.劝说（使不忠，使不顺从），诱…误入歧途,persuade
sedulous,adj.勤奋认真的,careful perseverance
seemly,adv.得体的，遵守礼节的,following the established traditions
segment,vt./n. 分割；部分,separate
self-abasement,n.自卑，自谦,humiliation
self-absorbed,adj.自恋的，自私的,absorbed in one's own
seminal,adj.创新的,creative
sensation,n.轰动事件,intense interest
sift,v.审查,examine
showmanship,n.擅长表演、展示的技巧,dramatically effective presentation
sepulchral,adj.阴沉的；丧葬的,lacking the cheer
septic,adj.腐败的，感染的,putrefaction
sequela,n.结果,secondary resuly
sequester,vt.使隔绝，分离,segregate
sere,adj.干枯的，凋萎的,dried withered
serendipity,n.意外发现珍奇（或称心）事物的本领,by accident
serene,adj.安静的,free from uproar
sermon,n.布道，说教,public speech
serpentine,adj.弯曲的,winding
self-defeating,adj.适得其反的，自我拆台的,causing more problems
serried,adj.密集的,little space
servile,adj.低下的，卑屈的,"submissive,abject"
shifty,adj.（显得）狡诈的，（显得）欺诈的,deceitful character
shackle,"vt.束缚
vt.限制，阻碍
","1.restrictions
2.create difficulty
"
shadow,"vt.偷偷尾随
v.遮蔽，（使）变暗","1.secretly,trail
2.gloomy"
sham,"v.掩饰，假装
adj.虚假的
","1.present a false appearance
2.fake"
stale,adj.陈旧乏味的,so often as to be dull
shiftless,adj.胸无大志的，懒惰的,lacking ambition
shipshape,adj.井然有序的,order
shirk,v.逃避，规避,keep away from
shoal,adj.浅的,little depth
shopworn,adj.陈旧的,worn-out
shred,n.少量,small amount
shrewd,adj.精明的，机敏的,cleverness or judgement
shrink,vi.（在数量或价值方面）降低，减少,reduced
shroud,vt.将…从视线中隔离，遮蔽,shut off from sight
shrug,vt.轻视，忽略,dismiss
shun,vt.避开，避免,keep away
sidestep,vt.（通过逃避而）不遵守,avoid having to comply with
signal,"adj.（在重要性、成就方面）非同寻常
v.给出信号","1.standing above
2.direct or notify
"
simpleton,n.（缺乏常识的）笨蛋,lacking in common sense
simulate,vt.假装，模仿,take on the appearance
self-perpetuating,"adj.自续的，能使自身永久存在的
","continuing without ant external intervention
"
sensuality,"n.感官享乐
",pursuit of fleshly pleasures
sinecure,n.拿钱不干事的职务；闲差事,requires little or no work
sinew,n.活力，力量,vigorous strength
singe,vt.轻微烧焦,burn superficially
sinuous,adj.蜿蜒的，迂回的,irregular curves
snag,n.障碍,difficulty
sacrosanct,adj.极为神圣的，不可侵犯的,most sacred
scourge,n.祸害,source of harm
skimp,"adj.缺乏的，不足的
vi.节省花费，吝啬","1.less plentiful
2.give insufficient funds"
scruple,n.（良心上的）不安,unseasy feeling about the rightness
skirt,vt.绕行，避开,go around
slack,"adj.松弛的
adj.疏忽的，大意的","1.not tightly fastened
2.failing to give proper care
"
slake,vt.使满足,satisfy
slant,"n.（看待问题、思考的）角度，看法
adj.倾斜的","1.way of looking
2.slanting direction"
slate,vt.列入名单，计划，安排,put on a list
slew,n.大量，许多,large amount
slight,"adj.不重要的
vt.轻蔑，看不起
vt.忽略，疏忽","1.deficient in weight
2.treat with disdain
3.fail to give proper attention"
sling,vt.投掷,send through the air
slippery,"adj.光滑的
adj.意义不明确的","1.slide
2.not precise in meaning"
slipshod,adj.粗心的，随意的,"indifference to exactness,precision,and accuracy"
sloppy,"adj.邋遢的，不整洁的
adj.混乱的","1.lacking neatness
2.lacking in order"
sloth,n.怠惰，懒惰,disinclination to action
slouch,vt.缓慢行走,move slowly
slovenly,adj.邋遢的，不整洁的,lacking neatness
sluggard,n.懒人,lazy person
sluggish,adj.缓慢的，迟缓的,slow in movement
slumber,vi.睡着,sleep
slur,"n.耻辱
vt.疏忽，忽略","1.mark of guilt
2.without due,considerat"
sly,adj.狡猾的,clever or cunning
smarmy,adj.虚情假意的，过分恭维的,hypocritically earnest
skullduggery,n.欺诈，诡计,use of cleber underhanded actions
smattering,n.少量,small amount
smirk,vi.（自鸣得意地）笑,offensively self-satisfied
smother,vt.抑制（表达、说出），压制,refrain
smug,adj.自大的，自鸣得意的,opinion of oneself
smuggling,n.走私，私运,importation or exportation contrary to the law
snare,"n.无法逃脱的困境
vt.捕捉","1.catches and holds
2.capture by"
snarl,v.纠缠，纠结,twist
sneer,vt.（轻蔑地）嘲笑,scornful
snobbish,adj.谄上傲下的，自大的,offensive air of superiority
snub,vt.轻视，不理睬,contempt or neglect
soak,vt.使…湿透,make thoroughly wet
sober,"adj.严肃的
adj.节制的","1.seriousness
2.restraint"
sodden,"adj.湿透的
vt.使…湿透","1.penetrated by water
2.wet thoroughly"
solace,"n.安慰
vt.安慰，安抚","1.comfort in sorrow
2.console"
solder,v.连接，联合,unite
solemnity,n.庄严，严肃,solemn
solicitous,adj.为他人操心的，体谅他人的,happiness of others
solid,adj.有理有据的,sound reasoning
soliloquy,n.（尤指自言自语的）独白,without addressing a listener
solitude,n.孤独，避世,being alone
solvent,"adj.有偿付能力的
n.溶剂","1.able to pay debets
2.another substance is dissolved"
somatic,adj.肉体的,of the body
somber,adj.悲伤的，不愉快的,lacking in cheer
somnolence,n.瞌睡，嗜睡,needing sleep
slapdash,adj.马虎的,careless
soothe,vt.带来慰藉，安慰,bring comfort
sop,"n.安慰物
vt.浸湿，湿透","1.placate or soothe
2.wet thoroughly"
sophism,n.假推理，诡辩,deceptive argumentation
sophisticated,"adj.精明的，老于世故的
adj.复杂的","1.worldly knowledge or refinement
2.complex"
soporific,"n.催眠的药剂，安眠药
adj.催眠的","1.induces sleep
2.cause sleep"
sordid,"adj.肮脏的，不干净的
adj.卑鄙的","1.not clean
2.baseness"
sound,"adj.牢固的，不可动摇的
adj.健康的，强壮的
adj.（逻辑上）严谨的","1.withstand stress without structural damage
2.free from injury
3.valid reasoning"
sparse,adj.稀疏的，稀少的,less plentiful
spartan,adj.简朴的，节约的,simplicity
spat,n.（小的）争吵,quarrel
spate,n.大量,large number
sleek,adj.时髦的，优美的,attractive
specious,adj.似是而非的，欺骗性的,false look of truth
speck,n.小点，少量,small amount
spectator,n.观众，目击者，旁观者,watches
spectrum,n.光谱；范围，系列,sequence or range
speculate,v.推测，揣测,take to be true
spendthrift,"n.挥霍着，败家子
adj.挥霍的，不节俭的
","1.spends improvidently
2.spending money freely
"
spent,"adj. 精疲力竭的
adj. 用废的","1. drained of energy
2. no longer useful"
slump,n./v/ 暴跌，急剧下降,decline suddenly
spiny,adj. 棘手的，麻烦的,requiring exceptional skill
spleen,n. 怒气，怨恨,anger or ill will
splice,vt. 接合，叠接,unite
spontaneous,adj. 自发的，不经思索的,without appearent thought
spoof,n. 轻松幽默的模仿，小恶搞,exaggerates for comic effect
sporadic,adj. 断断续续的,not often occurring
sprawl,v. 杂乱无序地发展，蔓生，蔓延,irregularly 
sprightly,adj. 活泼的，充满活力的,full of vitality
spur,"n. 刺激物
vt. 刺激，激励","1. arouses action
2. incite"
spurious,adj. 假的，伪造的,lacking authenticity
spurn,vt. 摈弃，拒绝,reject with distain
sanity,n. 心智健全，神智正常,healthy condition
squalid,adj. 污秽的，肮脏的,dirty
squall,v. 尖叫,scream
squander,vt. 浪费,spend wastefully
squat,adj. 又矮又胖的,broad in build and short in stature
soft-pedal,v. 降低…的力度,reduce
squelch,vt. 压制，镇压（运动）,stop by force
secede,vi. 脱离，退出（组织，团体，联盟等）,withdraw from an organization
stalwart,adj. 坚定的,firm and resolute
stamina,n. 耐力,moral strength
stammer,vi. 口吃，结巴,speak with pauses
startle,vt. 使吓一跳，使大吃一惊,frighten or surprise
static,adj. 静态的，停滞的,lack of movement
stature,"n. 高度，身高
n. 才干，水平",".1. height
2. quality or status"
steadfast,adj. 坚定的，忠诚的,firm in brief
stealth,adj. 秘密的,not to attract attention
steep,"adj. 陡峭的
adj. 过分的，过高的","1. approaching perpendicular
2. beyond limit"
stench,n. 臭气，恶臭,foul odor
stentorian,adj. 声音洪亮的,loud
sterile,"adj. 贫瘠的
adj. 无菌的
","1. not productive
2. free from bacteria"
stickler,n. 坚持细节的人，一丝不苟的人,insist on exactness
stiff,"adj. 僵硬的，无法弯曲的
adj. 艰苦的，费力的","1. lacking suppleness
2. requiring effort"
stifle,vt. 抑制（声音、呼吸等）；阻止，扼杀,hold back
stigma,n. 耻辱，污名,mark of shame
stint,vi. 吝惜，节省,be frugal
stingy,adj. 小气的，吝啬的,unwilling to share
sequel,n. 结果,result
stipulate,v. 规定，特定要求,specify agreement
stitch,n. 突然剧痛,sharp unpleasant sensation
stock,adj. 普通的，常备的,commonly used
sectarian,adj. 狭隘的,not broad
stodgy,adj. 平庸的，乏味的,dull
stoke,vt. 增大，促进,make greater
stoic,adj. 隐忍的，冷静的,unaffected by pleasure or pain
stolid,adj. 无动于衷的，感情麻木的,little emotion
stomach,vt. 容忍,bear
stonewall,v. 拒绝（合作），阻挠,"uncooperative, obstructive"
stouthearted,adj. 勇敢的,stout spirit
stratagem,n. 谋略，策略,deceiving
sonorous,adj. 声音洪亮的,conspicuously full and rich 
strand,vt. 遗弃，使置于困境,leave in a unfavorable place
stratify,vt. 讲…分成各种等级, devide into classes
stray,adj. 漫无目的的,lacking purpose
strenuous,"adj. 有活力的
adj. 艰苦的，费力的","1. vigorously active
2. requiring considerable effort "
striate,vt. 加条纹,mark with striations
stricture,n. 责难，批评,criticism
soothsayer,n. 预言家,predicts future
strident,adj. 刺耳的,harsh sound
strike,"n. 攻击
vt. 击打
vt. 袭击，攻击
vt. 撞击","1. force or violence
2. deliver a blow
3. violent action
4. forceful contact
"
stringent,adj. 严格的,marked by rigor
strip,vt. 脱衣，剥去,remove clothing
strut,vi. 趾高气扬地走,walk pompous
spike,v. 激励,vigor
stultify,vt. 使无效，抑制,render futile
stupor,n.迟钝，麻痹，无知觉,suspended sense
stunt,vt. 阻碍（成长）,hinder growth
sturdy,adj. 强健的，结实的,strength
stygian,adj. 极其暗的,extremely dark
stymie,vt. 阻碍,present an obstacle
subdue,vt. 使顺从，征服,conquer
subject,adj. 取决于（其他因素的），受制于,under the influence
subjugate,vt. 征服，镇压,bring under control
sublime,adj. 崇高的，庄严的,high moral
subliminal,adj. 下意识的，潜在意识的,below perception
submerge,vt. 使淹没,under water
submissive,adj.服从的，顺从的，恭顺的,submitting
subordinate,"adj. 下级的；次要的
vt. 征服","1. lower rank
2. under one's control"
subservient,adj.奉承的，屈从的,obsequiously
subside,vi. 下陷，下沉，减弱,tend downward
subsidiary,adj. 次要的,secondary importance
subsidy,n. 补助金，津贴,monetary
substantial,adj. 有重大意义的,considerable in importance
substantiate,vt. 证实,support with proof
substantive,adj. 本质的，关键的,relating to the essence
subterfuge,n. 诡计,deception to conceal
subtle,adj. 微妙的，难以感知的,difficult to perceive
subvert,vt. 颠覆,overturn
succinct,adj. 简明的，简洁的,"clear, precise"
succor,vt. 救援，援助,aid
suffocate,vt. 使窒息,deprive of oxygen
suffuse,vt. （色彩等）弥漫，染遍，充满,spread through
sulk,vi. 生气，愠怒,resentment
sullen,adj. 闷闷不乐的,lacking in cheer
secular,adj.世俗的，尘世的,worldly or temporal
summit,n. 顶点,highest point
summon,vt. 召集，召唤,call together
sumptuous,adj. 豪华的，奢侈的,extremely luxurious
sunder,vt. 分裂，分离,break apart
supercilious,adj. 高傲的，傲慢的,haughty
superficial,adj. 表面的，肤浅的,lacking depth
superfluous,adj. 多余的，过剩的,exceeding sufficient
stagnant,adj. 停滞不前的,not advancing
supine,adj. 懒散的，倦怠的，消极的，漠不关心的,lethargy indifference
supple,adj. 易弯曲的，柔软的,bent; pliant
supplant,vt. 排挤，篡夺…的位置,usurp the place of
supplement,n./v. 增补，补充,complete for a deficiency 
supplicate,v. 恳求，乞求,make a request in earnest or urgent manner
supposition,n. 猜想，推测,little or no evidence
suppress,"vt. 用暴力终止，镇压
v. 封锁，删除","1. put a stop to force
2. exclude"
surcharge,v./n. 过高收费,charge much
surfeit,v./n. （使）过量，（使）饮食过度,supply excess
surrender,vt. 交出，放弃，投降,give over to
surreptitious,adj. 偷偷摸摸的，保密的,escape being observed
susceptible,adj.容易受伤害的,likely to meet with harm
suspend,vi. 暂停，中止,bring to a formal close
suture, n./v. 缝合,joining
svelte,adj. （女人）体态苗条的，优雅的,slim
swagger,vi. 自夸，吹嘘,boast
swear,"vi. 咒骂
v. 宣誓","1. curse
2. oath"
sweltering,adj. 酷热的,hot
swerve,vi. 突然改变方向,turn aside abruptly
sterling,adj. 优秀的,best kind
swindle,vt. 欺骗，骗取,cheat
sybarite,n. 沉溺于奢侈逸乐者，酒色之徒,devoted luxury
sycophant,n. 马屁精,flatter
syllabus,n. 提纲，摘要；课文，演讲或研究课题的概要或提纲,summary
syllogism,n. 由一般到个别的推理，演绎,reasoning; deduction
symbiosis,n. 共生关系,living together
symmetry,n. 对称,balanced proportions
synchronous,adj. 同时期的，同步的,identical period and phase
synergic,adj. 合作的，1+1>2的,cooperating
synonymous,adj. 同义的,"same, similar meaning"
synopsis,n. 摘要，概要,outline; abstract or a summary
synthesis,n. 合成，综合,combination
tacit,adj. 暗示的,implied but not actually expressed
taciturn,adj. 沉默寡言的，话少的,disinclined to talk
tackle,vt. 着手处理,start work
tact,n. 机敏，精明，不冒犯,keen sense; maintain good relations
tactile,adj. 有触觉的，能触知的,touch; tangible
tactless,adj. 不机智的，笨拙的,inconsiderate or indiscreet
tilt,"v. 倾斜
n. 倾斜","1. at an angle
2. being positioned at an angle"
taint,vt. 使（品质）污损,morally bad
tamper,v. 恶意窜改，损害,mischievously
tangent,n./adj. 离题（的），不相关（的）,irrelevant
tangible,adj. 可感知的,capable of being perceived
tangy,adj. 刺激的,powerfully stimulating
tantalize,vt. 激起，挑逗，引诱,excite
tantamount,adj. 等价的，与… 相等的,equivalent
tantrum,n. 勃然大怒，发脾气,bad temper
taper,v. 逐渐减少，减弱,diminish gradually
tardy,adj. 缓慢的，迟缓的,slowly
tarnish,vt. 玷污,morally bad
tasty,adj. 美味的；令人愉悦的,pleasure or contentment 
tatty,adj. 破旧的，褴褛的,shabby
taunt,vt. 嘲弄性质疑，挑衅,challenge; jeer at
taut,adj. 紧绷的,not loose
tawdry,adj. 俗丽的，花哨而庸俗的,gaudy
taxing,adj. 繁重的，费力的,"requiring much time, effort"
tedious,adj. 冗长乏味的,tiresome; dullness;boring
teeter,"vi. 蹒跚，不稳定地行走
vi. 犹豫不决","1. unsteadily
2. uncertainty"
teetotalism,n. 禁酒,abstinence from alcoholic
telling,adj. 有效的，显著的,effective
temerity,n. 鲁莽，冒失,foolhardy; recklessness
temporize,vi. 行动躲躲闪闪以争取时间、躲避争论等，打哈哈,act evasively
temperate,"adj. （言行举止）有分寸的
adj. 有节制的","1. avoiding extremes
2. restraint"
tempestuous,adj. 突然的，剧烈的,sudden or violent
tenable,adj. 有据可依的，无懈可击的,capable of being defended; reasonable
tenacious,adj. 顽固的，不屈不挠的,persistent
tendentious,adj. 有偏见的,biased
tender,"vt. 正式提出
adj. 考虑周到的，关心同情的","1. offer
2. sympathy, consideration"
tenuous,adj. 没有实际内容的，空洞的,little substance
tepid,adj. 不太热心的,little or no interest
terminology,n. 专业术语,special terms or expressions
terminus,n. 终点，终点站,end
traumatic,adj. 造成创伤的，痛苦的,cause psychological damage
terse,adj. 简洁的，简明的, brief
testimony,n. 证词，声明,authentication
testy,adj. 易怒的，暴躁的,easily annoyed; irritable
tether,vt.（用绳、铁链）栓系，束缚,fasten or restrain
theatrical,adj. 做作的，夸张的，矫揉造作的,"exaggerated, unnatural"
therapeutic,adj. 治疗的，有疗效的,treatment of disease
thorny,adj. 棘手的,difficulties
threadbare,adj. 陈腐的,hackneyed
throng,v./n. 大量聚集,crowed in great numbers
thwart,vt. 阻挠,oppose
ticklish,"adj. 易怒的
adj. 棘手的，对技巧要求高的","1. easily offended
2. exceptional skill or caution"
tiff,n./v.小争吵,petty quarrel
tightfisted,adj. 吝啬的,stingy
timeworn,adj. 陈腐的,hackneyed
timid,adj. 胆小的，不自信的,lacking courage or self-confidence
timorous,adj. 胆小的,fearful
tinge,vt. 给…着上少量的色彩,tint
tinker,v. 乱修，乱调整,thoughtlessly
truism,n. 陈词滥调,used by many people
tirade,n. 长篇抨击性演讲,"angry, of censorious or denunciatory"
toady,n./v. 马屁精；拍马屁,"flatters, gaining favors"
tonic,adj. 滋补的，有益健康的,stimulating vigor; beneficial
topsy-turvy,adj. 混乱的,lacking in order
torpid,adj. 麻木的，没有知觉的,lacking in sensation
torpor,"n. 缺乏兴趣
n. （肉体或精神上的）迟钝，懒散","1. lack of interest
2. inertness"
torrential,adj. 急流的,rapidstreams
torrid,"adj. 酷热的
adj. 热情的，情感深厚的","1. intensely hot
2. great depth of feeling"
tortuous,adj. 转弯抹角的,indirect
tout,vt. 极力赞扬,praise
toy,vi. 草率或不认真地对待,handle thoughtlessly
tractable,adj. 易驾驭的，温顺的,giving in
tranquility,n. 宁静，淡定,freedom from storm
transcend,vt. 超越，超过极限,beyond the limits
transfigure,vt. 使改变外观,alter appearance; transform
transgress,vt. 违背，犯错,fail to keep; commit an offense
transient,adj. 短暂的，瞬时的,transitory
transitory,adj. 短暂的,lasting only a short time
translucent,adj. 透明的,permitting passage of light; transparent
transparent,adj. 没有歧义的，清晰易懂的,not subject to misinterpretation
travail,n./v. 辛苦劳动,arduous
traverse,vt. 横穿,pass across
travesty,n./v. 拙劣的、嘲弄性模仿,exaggerated imitation
treacherous,adj. 背叛的,betrayal
trenchant,adj. （言辞）一针见血的,articulate
trepidation,n. 恐惧，战栗,apprehension
trespass,vi. 非法侵入；违反，冒犯,enter unlawfully; offense
tribute,n. 称颂，颂词,declaration; gratitude
trickle,vi. 一滴一滴地流，缓慢地流,fail in drops
trite,adj. 陈腐的，陈词滥调的,hackneyed
trivial,adj. 无足轻重的，不重要的,little importance
truant,adj./n./vi. 逃避责任（的）；逃避责任者,shirking responsibility; shirks duty
truce,n. 休战，休战协定,suspension of fighting
truculent,adj. 好战的，好斗的,eagerness to fight
trudge,vi. 吃力而笨拙地走,heavily or clumsily
trumpet,v. 大声说出或宣告,make known
truncate,vt. 截短；缩短（时间、篇幅等）,shorten
tremendous,adj. 极大的, large
tumult,n. 骚动，暴动,disorderly disturbance
turbid,adj. 混浊的,deficient in clarity
turbulent,adj. 动荡的,disturbance
turgid,adj. 浮夸的，过分装饰的,embellished
turmoil,n. 骚动，混乱,"agitation, commotion"
turncoat,n. 叛徒,switched; traitor
turpitude,n. 卑鄙,baseness
trope,"n. 比喻
n. 陈词滥调","1. figurative
2. used by many people"
typo,n. 打字错误,error
tyro,n. 新手，业余爱好者,beginner; novice
ubiquitous,adj. 无所不在的，普通的,everywhere; often observed
unassailable,adj. 无可争辩的，无法否认的，不可亵渎的,not to be violated
uncanny,adj. 离奇的，奇异的,extraordinary or abnormal
uncouth,adj. 粗俗的，没有品味的,lacking in refinement
unctuous,adj. 油嘴滑舌的，谄媚的,flattering
upbeat,"adj. 心情好的
adj. 给人希望的，象征好运的","1. a good mood
2. inspire hope"
undergird,vt. 加强，巩固…的底部,strengthen
usher,v. 开启,beginning
underscore,vt. 强调,to emphasize
understate,vt. 保守陈述,restraint
undue,adj. 过度的，过多的,going beyond a normal
unexceptionable,adj. 无懈可击的,beyond reproach
unflappable,adj. 镇定的，从容不迫的,not easily upset
ungainly,adj. 笨拙的，不雅的,inability in a graceful manner
unimpeachable,adj. 无可置疑的,unquestionable
unkempt,adj. 凌乱的，无序的,lacking in order
unlettered,adj. 未受教育的，文盲的,deficient in the knowledge; illiterate
unpretentious,"adj. 低调的，谦逊的
adj. 坦诚的，自然的","1. modest
2. free from deceive"
unflagging,adj. 不懈的，不知疲倦的,not declining in strength
unsung,adj. 被埋没的，不知名的,not celebrated
unruly,adj. 难驾驭的，不守规矩的,difficult to discipline
untenable,adj. 防守不住的，站不住脚的,unable to be defended
untold,adj. 数不清的,numerous
untoward,"adj. 倒霉的，不吉利的
adj. 难以驯服的，难以驾驭的","1. not favorable, unpropitious
2. resisting control or discipline"
unwitting,adj. 不知道的，未觉察的,unaware
unwonted,adj. 不习惯的，不寻常的,not habitual or ordinary; unusual
upbraid,vt. （严厉地）谴责，责骂,reproach severely
uphold,vt. 支持，赞成,support
urbane,adj. 彬彬有礼的，文雅的,polite
usurp,vt. 篡夺，篡位,seize power without legal authority
univocal,adj. 含义明确的,clearly expressed
vaccinate,v. 预防接种疫苗,produce immunity
vacillate,"vi. 犹豫不决
vi. 摇动，摇摆","1. hesitate
2. oscillate"
vacuous,adj. 茫然的，愚蠢的,lack of intelligence
vagary,n. 不可预测的思想或行为,"erratic, unpredictable"
vague,"adj. 表达不清的
adj. 轮廓不清晰的","1. not clearly expressed
2. lacking definite shape"
valediction,n. 告别词,address farewell
valiant,adj. 勇敢的，英勇的,bravery
versed,"adj. 熟知的
adj. 精通的","1. having information
2. exceptional knowledge"
vanquish,vt. 打败，征服,defeat
vapid,adj. 无趣的，乏味的,lacking interest
vaporize,vt. 彻底消灭,destroy
variance,n. 不一致，不和谐,lack harmony
variegated,adj. 杂色的，斑驳的,different colors
varnish,vt. 粉饰（令人不悦的东西）,conceal unpleasant
valorize,v. 提升，赞美,enhance
vaunt,vi. 吹嘘,boastfully
veer,v. （使）转向，（使）改变航线,change direction
vehement,adj. （情感）强烈的，热情的,great depth of feeling
venal,adj. 贪污受贿的,open to corrupt
vendor,n. 小贩，商贩,sells
veneer,vt. 粉饰（不好的东西）,conceal defect
venerate,vt. 尊敬,regard with respect
venial,adj. 可宽恕的,easily excused
venom,n. 恶意，恶毒的用心,desire to cause pain
veracious,adj. 诚实的，说实话的,telling the truth
verbatim,adv. 逐字地，一字不差地,exact words
verbose,adj. 冗长的，啰嗦的,more than necessary
verdant,adj. （因长满植物而）翠绿的，郁郁葱葱的,green with vegatation
verify,vt. 校验，证实,determine accuracy
verisimilar,adj. 似乎真实的,appearing to be true
vile,"adj. 丑陋的
adj. （道德上）可鄙的，卑鄙的
","1. unpleasant to look at
2. morally despicable"
vernacular,"n. 方言
adj. 非正式的，口头的","1. nonstandard language
2. suitable for speech
"
versatile,adj. 多才多艺的，全能的,different things
verse,"vt. 使精通，使熟悉
n. 诗歌","1. familiarize 
2. rhythm lyrical effect"
vertigo,n. 眩晕,dizzy
verve,n. 活力，热情,vitality
venue,n. 场地,area or space
vestige,n. 微小的遗迹，小痕迹 ,smallest trace
vocation,n. 职业,employed
veteran,"n. 老兵；有丰富经验的人
adj. 经验丰富的，资深的","1. knowledge through long experience
2. knowledge, experiences"
veto,n./vt. 否决，禁止,"forbid, prohibit"
vex,vt. 使烦恼，使恼怒,bring agitation
viable,adj. 可行的,being done
vicarious,adj. 代理的，取代的,substitute for another
vicious,adj. 凶恶的，恶毒的,desire to inflict
vicissitude,n. 自然变化，变迁兴衰, natural change
victimize,vt. 使受骗,subject to deception
vigilant,adj. 警醒的，警惕的, alertly watchful
vignette,n. 简介，短文,vivid representation 
vigorous,adj. 精力旺盛的,active strength
vilify,vt. 诽谤，辱骂,utter slanderous statements
vim,n. 活力，精力,energy
vindicate,"vt. 为…平反，为… 辩护，使无罪
vt. 证明，证实","1. free from blame
2. give evidence"
vindictive,adj. 复仇的，有寻仇倾向的,seek revenge
virtuoso,"n. 艺术鉴赏家，专家
adj. 经验丰富的，技艺精湛的","1. masterly skill
2. exceptional knowledge"
virtuous,adj. 品德高尚的，正直的,showing moral excellence
virulent,adj. 有毒的,poisonous
viscid,adj. 有粘性的,glutinous
viscous,adj. 粘稠的，粘的,viscid
visionary,"adj. 空想的，不切实际的
adj. 有远见的","1. guided by ideals
2. foresight"
vitality,n. 活力，生命力,vigor
vitiate,v. 削弱，损害,reduce the values
vitriolic,adj. （言辞）刻薄的,scathing
vituperate,vt. 谩骂，责骂,abuse or censure
vivacious,adj. 活泼的，快活的,lively
vociferous,adj. 喧哗的，大叫大嚷的,vehement outcry
volatile,adj. 多变的,rapid change
volition,n. 意志，自愿选择的行为,making one's own choices
voluble,adj. 健谈的，话多的,ready speech
voluminous,adj. 卷数多的，大量的，庞大的,great number
voluptuous,adj. 奢侈逸乐的，沉溺酒色的,enjoyments luxury
voracious,"adj. 有很大含量的，贪吃的
adj. 贪婪的，如饥似渴的","1. huge appetite
2. insatiable"
votary,n. 崇拜者，信徒,fervently devoted
vouch,v. 担保，声称为真,give a guarantee
vulgar,adj. 粗俗的，无教养的,crude
vulnerable,adj. 易受攻击的，脆弱的,open to attack
waddle,vi. 摇摇摆摆地走,tlit the body from side to side
waffle,vi. 胡扯,talk foolishly
waft,v. 飘荡，漂浮,float
wag,v. 摆动,move to and fro or up and down
wan,adj. 苍白的，病态的,poor health
warble,v. 柔和地唱歌,sing with melodic embellishments
wane,vi. 减少，衰退，缺少的,decrease
wanting,"adj. 未出现的，缺少的
adj. 未达到要求的","1. not present
2. not being up to standards"
warmonger,n. 好战者,urges war
warp,vt. 曲解,alter the meaning
warrant,vt. 批准，认可,give official acceptance
wary,adj. 小心的，机警的，谨慎的,caution
wastrel,n. 肆意挥霍的人，败家子,expends self-indulgently
watershed,n. 重要关头，分水岭,turning point
wax,vi. 增大，增强,increase
waylay,vt. 埋伏，伏击,attack
welter,n. 混乱，动乱,disorder
wheedle,v. （用花言巧语）诱惑，哄骗,persuade by flattery
whet,vt. 刺激，激起,make more acute
winnow,v. 筛选,examine closely
whimsical,adj. 反复无常的,sudden illogical changes
wholesome,adj. 有益身心健康的,promoting health
wicked,adj. 邪恶的,morally bad
wince,vi. 畏缩,shrink back from pain
windbag,n. 健谈的人,talkative
windy,adj. 冗长的,verbosity
winsome,adj. 迷人的，漂亮的,"pleasing and engaging
"
wit,"n. 机智，智慧
n. 智者，有智慧的人 ","1. ability to understand
2. intelligence"
withdraw,v. 撤退,take back
wither,vi. 枯萎，凋谢,become sapless
withhold,vt. 抑制；扣压，不给予,refrain from giving
wizen,"v. （使）凋谢，（使）枯萎
adj. 凋谢的，枯萎的","1. become wrinkled
2. dried up"
wobble,"vi. 摇晃，颤抖
v.犹豫不决","1. move or proceed unsteadily
2. show uncertainty"
worldly,"adj. 世间的，世俗的
adj. 老练的","1. rather than spiritual
2. experienced 
"
windfall,n.好运，幸事,unexpected gain or advantage
wrangle,"n. 纷争，争端
vi. 争吵","1. differing opinions
2. quarrel"
wretched,"adj. 极差的
adj. 沮丧的","1. poor in quality
2. dejected"
wry,adj. 坚持错误的,stubborn to wrong
xenophobe,n. 仇视（或畏惧）外国人（或外国事物）者,fearful of what is foreign
yoke,v. 连接,become joined
yokel,n. 乡下人，天真纯朴的人,inhabitant of a rural area
zeal,n. 热心，热诚,enthusiastic devotion
zealot,n. 狂热者，极端主义者,extreme following a political or religious belief
zenith,n. 最高点，巅峰,culminating
zesty,adj. 刺激的，开胃的,piquant
abreast,adj.熟知的,knowledge of recent developments
appurtenance,n.附属物,subordinate
acclaim,"n.称赞；
vt.赞扬，赞颂","1. public acknowledgement or admiration
2. approval"
apostle,n.（政策或思想等的）信奉者，支持者,actively supports
accord,"n.一致；
vi.相符合，相一致；
vt.授予，给予","1. consistency
2. in harmony
3. grant or give"
accustom,vt.使习惯,make familiar with
acquire,vt.获取，获得,get as one's own
acquisitive,adj.贪婪的,desirous
adjudicate,v.裁决，判定,settle
adversity,n.厄运，逆境,difficulty
affectation,n.虚伪，做作,not natural; not genuinely felt
affirm,vt.声称…为真，肯定…属实,valid or confirmed
